pmid	pmcid	sentence
34914688	8675677	Similarly, the Hong Kong dataset was collected in winter, and the Brazil dataset was collected in summer and fall, and these two regions have different climates [23,24].
34914688	8675677	Lastly, the two Japanese datasets were collected during different seasons [27,28].
34914688	8675677	To investigate weather as a confounding factor, we determined the most likely orders of symptom onset for datasets from cities in Asia (Shanghai, China and Osaka, Japan) that were characterized similarly by the Wuhan reference strain and differently by weather.
34914688	8675677	Then, we compared the most likely orders of symptom onsets with that of the large China dataset [20,27,29] and found them to be consistent ().
34914688	8675677	We performed the same analysis for different cities in the USA (Detroit, Michigan, New York, New York, and Atlanta, Georgia) [30–32] and found the orders were consistent with the USA dataset () [17].
34914688	8675677	A) The most likely path of discernible symptom order using the overall dataset from China is shown on the left.
34914688	8675677	The middle and right columns are the most likely path of discernible symptom order of datasets in Shanghai, China and Osaka, Japan, when the Wuhan reference strain was prominent.
34914688	8675677	B) The most likely path of discernible symptom order using the overall dataset from USA is shown on the left.
34914688	8675677	The other columns are the most likely path of discernible symptom order of datasets representing, from left to right, Detroit, New York, and Atlanta in the USA, when the D614G variant was prominent.
34914688	8675677	C) The most likely path of discernible symptom order for all patients in the Japan dataset (in the earlier time frame and characterized by the Wuhan reference strain) is shown on the left.
34914688	8675677	The datasets we analyzed report differing median and interquantile ranges (IQR) of the age of the patients, so we investigated the effect of age on likely symptom order using a dataset characterized by the Wuhan reference strain and one characterized by the D614G variant.
34914688	8675677	The earlier dataset from Japan reported symptom data by age [27].
34914688	8675677	The USA dataset also reported symptom order by various age groups, so we determined the most likely order of symptom onset for each age group in the USA dataset () [17].
34914688	8675677	However, all groups’ initial transition probabilities of fever and cough are similar (approximately 0.4 to 0.5), indicating that likely symptom order is consistent by age group in this dataset.
34914688	8675677	To this end, we modeled datasets containing comorbidities to compare to the model predictions using datasets from China and the USA.
34914688	8675677	Making Hasse Diagrams using a dataset of COVID-19 patients with at least one comorbidity in China [33] and a separate dataset of COVID-19 patients of which 94% had at least one comorbidity in the USA [31] (), we determined the most likely orders of symptoms did not change because of comorbidities ().
34914688	8675677	The transition probabilities of the most likely path in cases from China are very similar between the entire dataset and those with comorbidities ().
34914688	8675677	The error of the transition probabilities of the main dataset and comorbidity dataset from China is 0.010 and 0.013, respectively ().
34914688	8675677	Similarly, when observing the most likely path in the USA datasets with comorbidities, the order of symptom onset was the same as the order determined from the main USA dataset ().
34914688	8675677	The error of the transition probabilities of the main dataset and comorbidity dataset of the USA is 0.063 and 0.044, respectively ().
34914688	8675677	In the USA datasets, we studied two additional comorbidities, namely, chronic obstructive pulmonary disease (COPD) and human immunodeficiency virus (HIV).
34914688	8675677	Again, the model predicted that patients with these comorbidities would have the same most likely order of respiratory symptoms (), and the errors of the transition probabilities of the dataset containing patients with COPD and patients with HIV were 0.061 and 0.031, respectively () [34,35].
34914688	8675677	Lastly, we investigated datasets including individuals diagnosed with cancer and COVID-19 in China and the USA and determined the most likely paths as well as displayed the raw frequency data for comparison () [36].
34914688	8675677	The only difference in these likely orders is that the third symptom is most likely to be diarrhea in cases with cancer () as opposed to nausea/vomiting as it is in the overall dataset in China () [20,36], but we found that the most likely order of symptoms was the same in the dataset representing cases with cancer () as the overall dataset in the USA () [17,37].
34914688	8675677	The error of the transition probabilities of this dataset containing cases with cancer in China and the USA is 0.026 and 0.030, respectively ().
34914688	8675677	Here, we mathematically modeled datasets that include clinical characteristics in China, the USA, Hong Kong, Brazil, and Japan to predict symptom order, as we had done previously with data from China [9].
34914688	8675677	To test this hypothesis, we analyzed datasets from Hong Kong and Brazil with high incidence of the Wuhan reference strain and the D614G variant, respectively.
34914688	8675677	To further test our hypothesis, we analyzed datasets in Japan where the dominant strain changed from the Wuhan reference strain to D614G variant.
34914688	8675677	We performed the analysis again on a Japan dataset that represents data when the Wuhan reference strain was prominent and a later Japan dataset when the D614G variant was prominent, and again our model’s predictions were consistent with our hypothesis that symptom order depends on mutation.
34914688	8675677	Our study also included datasets from varying countries for both the Wuhan reference strain and the D614G variant.
34914688	8675677	We then analyzed datasets from China and the USA of patients with COVID-19 and comorbidities and found that the predicted order did not change when comparing results from patients with and without comorbidities.
34914688	8675677	We confirmed the change in order of fever and cough, but we were unable to compare GI symptoms due to the lack of reporting in the Japanese datasets.
34914688	8675677	It is possible that if nausea/vomiting was reported, it could have been the most likely first or second symptom, but because both fever and cough occur prior to GI symptoms with a high likelihood in all other datasets, it is unlikely.
34914688	8675677	Instead, we note that there are distinct features of symptom progression by datasets that correlate with the predominate viral variant.
34914688	8675677	Then, we implemented the Stochastic Progression Model to model these various simulated datasets.
34914688	8675677	The statistics and demographics of all the datasets that we described here is also tabulated in the .
34914688	8675677	A large dataset consisting of 55,924 laboratory confirmed cases, which includes real-time polymerase chain reaction (RT-PCR) testing SARS-CoV-2, of COVID-19 in China was used.
34914688	8675677	The patients in the dataset had a median age of 51 years (interquartile range [IQR] of 39 to 63 with minimum age of 2 days to maximum age of 100 and 77.8% being between 30 to 69), 23% of patients were not from Hubei, China, and 51.1% were male.
34914688	8675677	The main dataset representing a large collection of COVID-19 infected individuals and their symptom data was reported by the CDC.
34914688	8675677	Two validation datasets were collected to determine the order of symptoms of the Wuhan reference strain and the D614G variant in Hong Kong [23] and Brazil [24], respectively.
34914688	8675677	These two datasets are independent from all other datasets collected for this study, because they represent cases from geographical regions that do not overlap with the regions from any other datasets.
34914688	8675677	A dataset from Atlanta, Georgia was used to examine changes in symptom order due to changes in season and weather.
34914688	8675677	There is a subset of 399 patients in this dataset who had at least one comorbidity, which we used in our analysis.
34914688	8675677	Additionally, a dataset to investigate order of symptom onset in individuals with COPD and COVID-19 was used.
34914688	8675677	We then used these simulated datasets to construct the corresponding Hasse Diagrams.
34914688	8675677	We estimated the percentage of the D614G variant and the Wuhan reference strain in our datasets using the results of a study that observed the changes in prevalence of these strains globally [16].
34914688	8675677	The dataset collected early in the pandemic in China, from February 16 to 24, 2020, represents cases that occurred at a time when over 98% of cases were consisting of the Wuhan reference strain.
34914688	8675677	The dataset collected during the subsequent outbreak in the USA, from January 22 to May 30, 2020, represents cases that occurred at a time when approximately 70% of cases were characterized by the D614G variant.
34914688	8675677	So, we modeled datasets from these cities in these time periods that consisted of cases that were almost exclusively of a specific type.
34914688	8675677	The dataset from China contains 55,924 patients, and the dataset from USA contains 373,883 patients.
34914688	8675677	The dataset from Hong Kong contains 59 patients, and the dataset from Brazil contains at least 50,000 patients.
34914688	8675677	The dataset from Japan before the outbreak of the D614G variant contains 244 patients, and the dataset from Japan after the outbreak of the D614G variant reports symptoms of 2,636 patients, except for cough, where only 2,634 of the patients were recorded.
34914688	8675677	The dataset from Shanghai, Osaka, Atlanta, and New York contains 249, 244, 531, and 393 patients, respectively.
34914688	8675677	The columns of the frequencies correspond to dataset.
34914688	8675677	From left to right, they represent a dataset containing patients with COVID-19 and comorbidities in China [33], patients with COVID-19 and comorbidities in the USA [31], patients with COVID-19 and cancer in China [36], patients with COVID-19 and cancer in the USA [37], patients with COVID-19 and COPD in the USA [35], and patients with COVID-19 and HIV in the USA [34].
34914688	8675677	The dataset representing patients with comorbidities from China and the USA contains 399 and 463, respectively.
34914688	8675677	The dataset representing patients with cancer from China and the USA contains 205 and 423, respectively.
34914688	8675677	The dataset representing patients with COPD and HIV contains 164 and 93, respectively.
34914688	8675677	A) The most likely paths of discernible symptom order using datasets from China and Hong Kong, which are both characterized by the Wuhan reference strain, are displayed.
34914688	8675677	B) The most likely paths of discernible symptom order using datasets from the USA and Brazil, which are both characterized by the D614G variant, are displayed.
34914688	8675677	The most likely path of discernible symptom order for all patients in the USA dataset is shown on the left.
34914688	8675677	The error of the transition probabilities of the China dataset is 0.010, whereas the error of the transition probabilities of the China with comorbidities dataset is 0.013.
34914688	8675677	The error of the transition probabilities of the USA dataset is 0.063, whereas the error of the transition probabilities of the USA with comorbidities dataset is 0.044.
34914688	8675677	A) Table of raw frequency data specifying the number and the percentage of patients that experienced fever and cough in the datasets including patients with comorbidities, COPD and HIV, in the USA and cancer in China and the USA.
34914688	8675677	Using Hasse diagrams and large datasets of self-reported symptoms, comorbidities, and cancer status, the authors study how likely a set of four principal symptoms (fever, cough, nausea/vomiting, and diarrhea) are likely to occur and in which order.
34914688	8675677	1) Line 251: The earlier dataset did not report nausea/vomiting, so they weren't included in the analyses of the Japanese data (which is of high interest given that the early data was taken before the emergence of D614G).
34914688	8675677	What is the impact of this on predicted outcomes, since nausea/vomiting is in the third most likely path in the USA dataset, and is also found in the early China dataset?
34914688	8675677	"Large-scale datasets should be made available via a public repository as described in the PLOS Computational Biology
data availability policy, and numerical data that underlies graphs or summary statistics should be provided in spreadsheet form as supporting information."
34914688	8675677	Reviewer #2: No: please provide an access to the data set and/or a detailed description of the data used (see comments)
34914688	8675677	"""To investigate these possible factors, we determined the most likely orders of symptom onset for various datasets from different cities in the USA (Detroit, Michigan, New York, New York, and Atlanta, Georgia)"""
34914688	8675677	It is unclear to me whether data for these cities were included in the original country-level datasets?
34914688	8675677	My comments on the data description remains to some extent, and I am still not sure to be able to evaluate to what extent reliable conclusions on symptom order can be obtained from data set that only contain prevalence data of each symptom, but no information on their sequential aspects.
34914688	8675677	Reviewer #2: No: please update the link to datasets.
34914688	8675677	Some of them are no longer available (such as the first dataset referenced from WHO)
33709119	7989622	Various online databases are available to use for the application in the prediction of the drug–target interactions (DTIs) [8], such as KEGG [9, 10], DrugBank [11], TTD [12,13] and STITCH [14].
33709119	7989622	Different ML methods have recently been applied to predict DTIs based on the various types of datasets [15, 16].
33709119	7989622	Whereas feature-based approaches consider drug chemical and protein sequence feature vectors as input and represent the class label by binary value (1 and 0), indicating the interacted and non-interacted pairs in the datasets.
33709119	7989622	[42] developed a boosting classifier-based method to predict potential DTIs from gold standard datasets using evolutionary information and structural features of target proteins.
33709119	7989622	In another work [26], structural features extracted from protein sequences, an oversampling-SMOTE, are independently employed for balancing the drug-target datasets.
33709119	7989622	There are different types of DR techniques, such as linear discriminant analysis (LDA) [48], PCA [49], genetic algorithm (GA) [50] and relief [51] have been applied to select the suitable features from the datasets for accurate prediction.
33709119	7989622	DTiGEMS+ incorporates multiple target–target similarities and drug–drug similarities into a heterogeneous graph after utilizing a similarity selection technique and a fusion algorithm.
33709119	7989622	Therefore, the novelty and contributions of this research include: (i) predict the novel DTIs from drug chemical structure and protein sequence; (ii) utilize the multi-feature fusion for predicting novel DTIs; (iii) propose a data balancing algorithm address to handle the imbalance issue in datasets that did not effectively address in the existing approaches; (iv) develop an effective feature selection algorithm to remove the redundant and noisy information and (v) provide satisfactory prediction performance for all the four benchmark datasets.
33709119	7989622	Then these three types of protein features integrate with drug features to make drug–target datasets for accurate DTIs prediction.
33709119	7989622	Secondly, since the drug–target dataset is highly imbalanced, we propose a new undersampling technique to manage the imbalance issue of positive and negative datasets.
33709119	7989622	Five-fold CV test is carried out on the datasets; different parameters are chosen for the features to fix the best settings of the model.
33709119	7989622	The rest part of the paper is structured as follows: Materials and methods section describes the detail of the gold standard datasets, feature extraction, data balancing, feature selection, and classifiers we employed in this paper.
33709119	7989622	At first, drug chemical structures (SMILE format) and protein sequences (FASTA format) are collected from DrugBank and KEGG databases using their specific access IDs.
33709119	7989622	Afterwards, balancing techniques are used on extracted features to manage the datasets’ imbalance issue and drug–target features are selected through the newly developed feature selection technique to boost prediction performances.
33709119	7989622	In our research, we use four types of protein targets gold standard datasets also known as benchmark datasets, i.e.
33709119	7989622	Mainly, only drug IDs and protein IDs are considered from their datasets.
33709119	7989622	After that, we collected the drug chemical structures and protein sequences of these four types of datasets from the DrugBank [55], SuperTarget and Matador [56], KEGG BRITE [57] and BRENDA [58] databases.
33709119	7989622	After counting them, the number of known interaction (positive samples) pairs in each dataset is 2926, 1476, 635 and 90, respectively.
33709119	7989622	The detailed information about the drug–target datasets is shown in Table 2.
33709119	7989622	Note that these gold standard datasets have been exploited in recent various state-of-the-art methods [41,42,47,59] by researchers.
33709119	7989622	Statistics of the dataset used in this study
33709119	7989622	MSFs are string representations of drug chemical structures aimed to improve chemical database searching and analysis efficiency.
33709119	7989622	"
=  (1)where  represents the residue score of -th in the AA sequence being substituted to the -th AA residue, which is searched by the PSI-BLAST [65] tool through the Swiss-Prot database to generate PSSM on a server machine."
33709119	7989622	This PsePSSM can able to generate a uniform dimensional vector from different lengths of protein sequences in the dataset after extracting features.
33709119	7989622	Here, we set  after performing the optimization function for each training set by fivefold CV.
33709119	7989622	As mentioned earlier, our experimental drug–target datasets are highly imbalanced.
33709119	7989622	If such datasets are considered to train the classifier, the model could fail to show accurate prediction performances.
33709119	7989622	Therefore, different data sampling techniques have been utilized in the literature to balance the imbalanced dataset, such as SMOTE [26,72], cluster under sampling [47,73] and random under-sampling [35,74,75].
33709119	7989622	In this study, we develop a new algorithm based on the concept of random under-sampling technique to overcome the imbalanced problem in the datasets.
33709119	7989622	The number of input class samples and features/attributes are diffident for four datasets.
33709119	7989622	Assume, there are  minority data samples and  majority of data samples in the drug–target datasets.
33709119	7989622	The threshold value depends on the attributes/features of the datasets.
33709119	7989622	The final data build the combination of  class from the original experimental dataset and  majority class nominated by the proposed method.
33709119	7989622	Hence the decision limit becomes more defined along with the resulting balanced dataset becomes more dividable.
33709119	7989622	Suppose experimental datasets contain  features and  samples in a binary classification problem.
33709119	7989622	If a training data , where  represents the data samples, and  represents the class labels.
33709119	7989622	If the experimental datasets are large and enormous features, GBDT algorithms cannot achieve satisfactory accuracy and efficiency.
33709119	7989622	Moreover, LightGBM offers over 100 parameters, and it is also supporting optimization in parallel learning to compatibility with large datasets.
33709119	7989622	Our drug–target datasets were roughly separated into five subsets by 5-fold CV validation test.
33709119	7989622	One set was selected from 5 sets as the test set, and the remaining four were considered as the training set, and this process (cross-validation) was repeated 5 times.
33709119	7989622	After averaging the five validation results, the final results are generated from drug-target datasets.
33709119	7989622	In the correct CV, the dataset was first split into k folds, the sampling method (under sampling-FastUS) was applied to the training set constituted of the k – 1-fold, and a reduced training set was obtained.
33709119	7989622	In the incorrect CV, different sampling techniques were first applied to the entire dataset (before CV), and CV was applied to the undersampled data.
33709119	7989622	In this research, we applied the first approach to balance the dataset because applying the balancing method before using the cross-fold validation iterations may lead to biased results.
33709119	7989622	Prediction Performance of DTI for different  parameter values on the training data set
33709119	7989622	Prediction performances of DTI for different  parameter values on the training dataset
33709119	7989622	We can see from Table 4, by changing the value of parameter , the AUC and ACC value in the drug-target training data also changes.
33709119	7989622	Figure 3a–d is the ROC curve generated from the DrugBank datasets under three feature extraction techniques.
33709119	7989622	Performance of different features on benchmark datasets
33709119	7989622	ROC curves of LightGBM classifiers using MACCS+PsePSSM, MACCS+ PseAAC and MACCS+ DC feature group on the datasets: (a) EN, (b) IC, (c) GPCR and (d) NR.
33709119	7989622	For the Enzyme dataset, the model used the MACCS+PsePSSM, MACCS+PseAAC and MACCS+DC features to attain AUC of 0.9656, 0.9510 and 0.9434, respectively.
33709119	7989622	For the Enzyme dataset, MACCS+PsePSSM gain more comprehensive features from protein sequence, which helps identify DTIs, and the performance results are better than the other two feature extraction techniques.
33709119	7989622	In the case of IC, GPCR and NR datasets, the AUC and ACC values for individual feature groups are also listed in Table 5.
33709119	7989622	For all the datasets, the MACCS+PsePSSM feature achieved higher prediction performance than MACCS+PseAAC and MACCS+DC.
33709119	7989622	From Table 5, we can see that the features MACCS+PsePSSM, MACCS+PseAAC and MACCS+DC obtained the best performances for EN dataset, followed by IC, GPCR and NR.
33709119	7989622	Moreover, EN dataset attains the most top results for the DTI features.
33709119	7989622	This study’s main goal is to compare and examine the effectiveness of different features and determine the most useful feature from the benchmark dataset.
33709119	7989622	The imbalanced dataset can be responsible for the biased results.
33709119	7989622	In this study, drug–target dataset is a severe imbalance.
33709119	7989622	To balance the datasets and improve the ability of the model, we used the FastUS technique as a balancing method with the LightGBM classifier.
33709119	7989622	Here, the model compares the balanced and unbalanced datasets to evaluate the efficiency of the FastUS technique with LightGBM classifier, the experimental results shown in Table 6.
33709119	7989622	Comparison of prediction results on a balanced and unbalanced dataset
33709119	7989622	We can see from Table 6 that the model obtains different prediction performances on a balanced (With FastUS) and unbalanced (Without Resampling) dataset.
33709119	7989622	On the unbalanced distribution (Without Resampling), the number of positive instances and negative instances are 2926 and 292 554 (as an example for EN dataset); respectively, the positive instances is less than the negative instances.
33709119	7989622	Using the EN dataset, the MODEL obtained AUC values of 0.9656 for balanced data, 0.9412, for unbalanced data.
33709119	7989622	In the case of the IC dataset, the MODEL achieved AUC values of 0.9612 and 0.9200, for balanced and unbalanced data, respectively.
33709119	7989622	For the GPCR dataset, MODEL yielded an AUC of 0.9249 for balanced, 0.8745 for unbalanced data.
33709119	7989622	In the case of IC, GPCR and NR datasets, the ACC, SEN, SPE, MCC and F1 results for balanced and unbalanced data are also shown in Table 6.
33709119	7989622	ROC curves of the MACCS+ PsePSSM feature group using without resampling and With FastUS techniques on the datasets: (a) EN, (b) IC, (c) GPCR and (d) NR.
33709119	7989622	It can summarize few clarifications from the above discussion: Firstly, the balanced dataset with FastUS significantly outperforms the unbalanced dataset in the case of ROC curves.
33709119	7989622	More specifically, the results significantly improve for all four datasets on the SPE and MCC metrics, which has worse results for unbalanced data, especially for the NR dataset.
33709119	7989622	Thirdly, FastUS is the effective method for this paper to identify DTIs, since it boosts the prediction ability and reduces the model biasness for drug–target datasets.
33709119	7989622	Different feature selection techniques have been extensively applied with drug–target datasets in recent studies.
33709119	7989622	The experimental results of the drug-target dataset with various feature dimensions are listed in Table 7.
33709119	7989622	The prediction results of the MoIFS on EN dataset
33709119	7989622	We can see from Table 7; best prediction effect can’t get with our dataset when considering full drug–target features.
33709119	7989622	Therefore, it’s better to remove some features from the experimental datasets.
33709119	7989622	We can see all the feature selection algorithms can’t show the improved results for drug–target datasets, and the MoIFS is a suitable algorithm here.
33709119	7989622	The comparison of different feature selection algorithms on EN dataset
33709119	7989622	Performance comparison of different feature selection techniques on EN dataset.
33709119	7989622	To make a clear comparison of prediction effects, the results graph of the EN dataset shows in Figure 6.
33709119	7989622	After analyzing the prediction results of the DT dataset from Table 9 that the highest results of AUC, ACC, SEN, SPE, MCC and F1 obtained by the LightGBM algorithm are 0.9656, 0.9264, 0.9456, 0.9323, 0.8987 and 0.9347, respectively.
33709119	7989622	Performance of different classifiers on EN dataset
33709119	7989622	Performance comparison of different classifiers on EN dataset.
33709119	7989622	To compare the effectiveness of our method, we consider five drug–target methods under the AUC values for the same datasets.
33709119	7989622	Here, those existing methods also utilized 5-fold CV as a key performance metric for four datasets.
33709119	7989622	They made the negative samples with the same size as the positive sample datasets using random sampling techniques to solve the imbalance problem.
33709119	7989622	Comparison of MODEL with existing methods on four datasets
33709119	7989622	This method’s average AUC values on four datasets are 0.9480, 0.8890, 0.8720 and 0.8690, respectively.
33709119	7989622	[86] achieved little better results than us for EN and NR datasets.
33709119	7989622	Furthermore, our balancing method perfectly manages the imbalance problem in the datasets, and feature selection techniques reduce the unwanted features, which also the main reason for better performance by the LightGBM classifier, indicating better performance for identifying the new DTIs.
33709119	7989622	It is important to remember that the interacted datasets used in this study were collected from few years old databases.
33709119	7989622	Most importantly, those interacted datasets still exist and unchanged; therefore, we can verify our newly predicted drug-target pair with an updated version of the database.
33709119	7989622	Meanwhile, many new interactions have been discovered by the wet-lab experiments and stored those interactions in the updated version of databases such as DrugBank [11], ChEMBL [10] and KEGG [87].
33709119	7989622	The model is trained using four benchmark datasets, and the non-interacting pairs are labeled based on their prediction probability.
33709119	7989622	The predicted pairs, which are achieved at least 82% prediction probability by our model, can be considered correct predictions and found in the existing databases.
33709119	7989622	Data collection and analysis of SARS-CoV-2: Specimens will be collected from humans.
33709119	7989622	Drug and protein datasets collection: FDA-approved drugs or antiviral drugs can be selected as experimental drugs from the DrugBank database, which contains detailed information of drugs compound, and the protein of SARS-CoV-2 can be collected from the NCBI database.
33709119	7989622	Applied diffident techniques on datasets: If the experimental datasets are imbalanced ith huge features, then data balancing and feature selection can be applied on the datasets to handle the balance issue and reduce the drug-protein features.
33709119	7989622	Finally, the ML classifier could be applied to the dataset for prediction propose.
33709119	7989622	Find effective drug–protein pairs: Different statistical and ML techniques such as Pearson's correlation coefficient, Spearman’s correlation coefficient and prediction probability can be used to determine the active pairs from the datasets.
33709119	7989622	Besides, there is a significant gain in performance when the proposed DR algorithm is applied in the dataset.
33709119	7989622	But, the running time of MoIFS is quite high on the EN dataset, our proposed approach's main complexity.
33709119	7989622	To verify the model efficiency, some known (positive) DTIs were removed from the benchmark data, and their DTIs were recalculated to verify the model accuracy.
33709119	7989622	With the massive expansion of the era of big data, protein sequence and drug chemical structure data are increasing rapidly in different biological databases.
33709119	7989622	The key challenges of DTIs prediction include: (1) fully extracting the critical features of drug and protein; (2) the problem of imbalance data and (3) feature dimensionality in the dataset.
33709119	7989622	The imbalance data is a common problem in the biological datasets; therefore, we proposed a balancing algorithm based on the concept of random under-sampling techniques, which helps in handling the data-imbalance issue and minimizes the prediction biasness.
33709119	7989622	The prediction results show that the proposed method has improved performance compared with other related existing methods using the same dataset.
33709119	7989622	In the future, we have a plan to consider SARS-CoV-2 datasets for experiments and use a deep learning-based algorithm as a classifier to speed up the model performance in discovering new drugs for COVID-19.
33709119	7989622	The current version of our proposed method is suitable for both the gold standard and DrugBank dataset, but not for heterogeneous data sources.
33709119	7989622	"
 Majority Samples in the datasets"
33709119	7989622	"
 Minority Samples in the datasets"
33709119	7989622	Imbalanced datasets can lead to losing the model's ability to give accurate decisions where the prediction generally occurs based on the majority class and completely omits the minority class.
33709119	7989622	The proposed FastUS algorithm solves the class imbalance problem in the drug-target datasets.
34764605	8180385	This feature-extraction process requires the transfer learning techniques in which pre-trained CNN models capture the generic features of large-scale datasets such as ImageNet that are later transferred to the task required.
34764605	8180385	We used five different public datasets which are collected from different locations to evaluate the performance of the proposed model.
34764605	8180385	Among the five datasets, three datasets consist of the CT scans while two datasets consist of the chest x-rays.
34764605	8180385	Section 5 gives the details of the datasets, experimental methodology, and evaluation metrics.
34764605	8180385	Given a data set D, stacking initially splits D into subsets of equal size D1,D2,...D. One of the subsets D is kept aside for future use.
34764605	8180385	D is the training set, and D is the testing set of the i fold.
34764605	8180385	The meta classifier’s training set consists of predictions from K base classifiers over the instances in D. Meta classifier data has K-attributes whose values are the predictions from K base classifiers for each instance in D. The process is repeated for N folds i = 1, 2, ... , N. At the end of the cross-validation process, each example of the training data for meta classifier has K-attributes and a target label.
34764605	8180385	Their proposed model achieved an accuracy of 0.87 on the dataset that they used.
34764605	8180385	One of the first publicly available datasets was built by Xingyi Yang et al.
34764605	8180385	Another dataset that was made publicly available was the COVIDx dataset was created by Linda Wang et al.
34764605	8180385	[29] built a publicly available CT scan image dataset and used a Self-Trans approach, which integrated self-supervised learning with transfer learning, which learned robust and unbiased feature representations, in order to reduce the risk of over-fitting.
